REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062334,40,Christmas Sparkle,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062335,50,Beautiful Season,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062338,55,Warmest Wishes,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062269,58,Being with You,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062336,60,From the Team,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062337,70,From School Group,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062339,90,From Both of Us,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062262,95,From the Gang,46146,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062363,100,Best Friends Apart,46146,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062263,120,Got Nog?,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062264,130,Bright Christmas,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062265,140,Cool Friend,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062266,150,Card for You. Dude,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062267,160,Yo. Ho! Ho! Ho!,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062270,180,From the Cat,46146,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062271,190,From the Dog,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062273,20,Blessings for Mom & Dad,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062274,30,God Bless Grandparents,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062275,40,Blessed Christmas,46147,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062276,50,Joy. Love. and Prayers,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062277,60,Peace. Joy. and Love,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062278,70,Remember the Miracle,46147,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062279,80,Gift of Jesus,46147,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062280,90,Silent Night,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062281,100,God Bless You,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062282,110,Peace and Good Will,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062272,115,Blessings and Love,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Religious,,,3062283,120,Meaning of Christmas,46147,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy Holidays,,,,3062290,10,Fun Holidays,46124,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Happy Holidays,,,,3062291,20,Holiday Smiles,46124,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy Holidays,,,,3062292,30,New Address,46124,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy Holidays,,,,3062293,40,Thinking of You,46124,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy Holidays,,,,3062294,50,Jolly Holidays,46124,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy Holidays,,,,3062295,60,Happy Holiday Season,46124,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy Holidays,,,,3062296,70,Successful Year,46124,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062311,10,Peace,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062312,20,Beauty of the Season,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062313,30,From Family,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062314,40,Simple Joys,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062315,50,Best Friend,46125,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062316,60,Special Friend,46125,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062317,70,Great Neighbor,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062318,80,You Make Me Smile,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062319,90,The Holiday Ham,46125,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062320,100,Fleece on Earth,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062321,110,Too Bright,46125,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062322,120,Special Kid,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062323,130,Fun Season,46125,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062324,140,Every Day a Holiday,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062325,150,To My Better Half,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062326,160,From Dog,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062327,170,From Cat,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062328,180,Job Well Done,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062329,190,Season's Greetings,46125,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Season's Greetings,,,,3062330,200,Best Wishes,46125,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Kwanzaa,,,,3062305,10,From Family,46126,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Kwanzaa,,,,3062306,20,Kwanzaa Family,46126,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Kwanzaa,,,,3062307,30,Wishes to Family,46126,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Kwanzaa,,,,3062308,40,Wonderful Grandparents,46126,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Kwanzaa,,,,3062309,50,Love for Grandparents,46126,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Kwanzaa,,,,3062310,60,Kwanzaa Smiles,46126,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062297,10,Thanks for Gift,46127,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062298,20,From Family,46127,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062299,30,Belated Christmas,46127,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062300,40,New Beginning,46127,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062301,50,Happy New Year,46127,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062302,60,Festive New Year,46127,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062303,70,Udderly Happy,46127,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Happy New Year,,,,3062304,80,All the Best,46127,153,76,400,200,INSIDEVERSE
