REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
NC,Notecards,Congratulations,,,,3056395,30,New Life. New Joy<br>Add-a-Photo,44429,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056396,40,New Parents<br>Add-a-Photo,44429,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056397,50,A Baby Brings Love,44429,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056398,60,God's Sweet Gift,44429,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056399,70,Baby's Birth Day,44429,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056400,80,A Gift of Hope and Love,44429,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056347,90,Gift for Baby,44429,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056348,100,Our Gift for Baby-to-be,44429,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056334,110,Wonderful Wedding and Life,44429,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Congratulations,,,,3056335,120,A Beautiful Bride-to-be<br>Add-a-Photo,44429,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Invitations,,,,3056415,10,Blast Off to Fun!<br>Add-a-Photo,44430,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Invitations,,,,3056416,20,Monster Fun,44430,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Invitations,,,,3056413,30,Celebrate My Birthday!<br>Add-a-Photo,44430,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Invitations,,,,3056414,40,I'm Having a Party!,44430,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Invitations,,,,3056407,50,Guess Who's Invited?!<br>Add-a-Photo,44430,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Invitations,,,,3056408,60,Be at the Birthday Party!,44430,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
NC,Notecards,Invitations,,,,3056409,70,Make My Wish Come True!,44430,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
